case,dice,iou,precision,recall
132,0.5606456577582813,0.38951190912803846,0.4609337750773585,0.7154065823553679
133,0.49483616339940284,0.3287590037487261,0.41988820093753687,0.6023532288572885
134,0.32804433942297717,0.1962039706901065,0.25979650904219254,0.44492488692031157
135,0.46413420244542375,0.3021971080965861,0.42914608230070445,0.5053338858150725
136,0.6461159578824148,0.4772313859847645,0.5620196957249897,0.7598076774379654
137,0.43478952080529165,0.2777834205588877,0.32573986196352084,0.6535979774348574
138,0.48001290929505364,0.3158006487229142,0.36423461492372644,0.7036943829273501
139,0.5059548449704631,0.3386476260555076,0.4078521257740854,0.666199045695832
14,0.5472913986399689,0.3767385958392554,0.5017243648809002,0.6019621096785448
140,0.5516508340367963,0.38088248814638803,0.475397540983628,0.6570392817695399
141,0.44334800300897825,0.28480868162311324,0.3264966063546086,0.6904599376418565
142,0.6116295219699676,0.440537689074053,0.5179110808344675,0.7467590833696501
143,0.42267829197408385,0.26797215166911326,0.3349537955666735,0.5726574426325189
144,0.45120619477814067,0.2913274790077908,0.3471769289076517,0.6442520526436694
145,0.5746749880777302,0.40318873468916216,0.4713156570122932,0.7361018155549461
146,0.34715225209414885,0.2100328070350208,0.22130749452436807,0.8047893615916394
147,0.5360076541706694,0.3661273610464478,0.4498580889309687,0.6629687325180381
148,0.5924201444760351,0.42087853285988824,0.4764776341332812,0.7829332850711735
149,0.42488720988013723,0.26975033949653104,0.3167728987875643,0.6450381679389667
15,0.6485152456014776,0.47985391140436334,0.5959747791848731,0.7112151758076267
150,0.4781540515200319,0.31419346484947286,0.38474955117158877,0.631449053942915
16,0.4144971366064148,0.26142944688176434,0.30533435716591273,0.6451506289560487
17,0.4535425304572022,0.29327837291983333,0.3622134537259686,0.6064550794368466
18,0.4957320250867299,0.3295503416639192,0.38012429207263365,0.7123931513571118
19,0.47241056779675633,0.3092523146847247,0.38129820496829825,0.620737732001997
2,0.38814434041166135,0.2408058923283577,0.26642610254115456,0.7146244889637939
20,0.4973843608414613,0.33101236795326744,0.45687589591205374,0.5457749779702928
21,0.37918595686967393,0.2339478476737359,0.29727860374923737,0.523393310344097
22,0.5427548441449177,0.3724526665703411,0.4785192187579422,0.6269102328770427
23,0.48285639458753443,0.31826676978036245,0.35241376849641654,0.7666097485253286
24,0.5432110556123423,0.3728824670897636,0.5028823030131853,0.5905721108919398
25,0.5279348547614905,0.3586355240249746,0.42228102852992555,0.7040989272154277
26,0.437334743521967,0.2798646362098482,0.31673688242056536,0.7062339880444418
27,0.4882325102307985,0.3229547622467756,0.40553014572246576,0.6133084342237133
28,0.5176238256587365,0.3491852032017341,0.42989948209805223,0.6503284122964512
29,0.5823565832656469,0.41079200622055545,0.5001875111431109,0.696829285004651
3,0.5791553265269614,0.4076133988040542,0.4798457021525305,0.7302992029964087
30,0.43687709728909485,0.27948992144600193,0.39616609777365863,0.48691352490881223
31,0.46990239185824345,0.3071061541158448,0.36306329887016514,0.6658399503970572
32,0.42074252318453953,0.2664179396718631,0.30708751887600505,0.6679579067629741
33,0.489043135837716,0.32366452506827587,0.40174028765934366,0.6248248630747975
34,0.3962715533024909,0.24709392298836313,0.3100741136919754,0.548844810098101
35,0.5012193479854701,0.33441807999842493,0.6066457415343992,0.42701092775448124
36,0.4731820113784125,0.30991383053171156,0.3974791512444137,0.584505414049595
37,0.5300602161456036,0.3605999524386877,0.42029023764118095,0.7174383237580582
38,0.4598073792729429,0.29853887954346375,0.3499984511972581,0.6700203593524866
39,0.4332590218754495,0.27653519498423745,0.44893034479561056,0.41864490722266956
4,0.48816935832202185,0.3228995000261546,0.44881207202148976,0.5350927839813661
40,0.5510453446634078,0.3803054447797181,0.5122716599565513,0.5961692091147971
41,0.5657466504959607,0.39445377672753495,0.5497472362646877,0.5827052489906138
42,0.42704583173753907,0.27149286378082566,0.30538361817122656,0.7098399966047333
43,0.5046927799959553,0.3375177844688039,0.4915550715349535,0.518552031598717
44,0.6115232079906112,0.44042738885511973,0.6664398911477731,0.5649681096485522
45,0.4550626867622748,0.2945509069287902,0.3790542093611631,0.5691993278532568
46,0.5162571589315331,0.34794247671637285,0.4637650105738038,0.58214880865373
47,0.4800503959156059,0.31583310040388446,0.4116246788893236,0.5757610366791499
48,0.43961587566982363,0.281735675732124,0.43970540317791573,0.4395263846113585
49,0.5092606862789687,0.3416161911017319,0.40479152955195763,0.6864104402229066
5,0.6164213468248885,0.44552678332403767,0.4955168330232112,0.8153686836069065
50,0.486933856747252,0.3218192799559191,0.3913348916223198,0.6443390571930678
51,0.4638966593146665,0.30199573624240805,0.34870978340539593,0.6927170671460008
52,0.5362261287646335,0.3663312614755874,0.4470490165359452,0.6698468379884601
53,0.4931473659042164,0.3272698037921674,0.4352528714286836,0.5688062599282543
54,0.4785214063966672,0.31451077156688917,0.3878704048518706,0.6244689598465444
55,0.508325485682414,0.34077506909406885,0.4065758713615721,0.6780022143860961
56,0.475861435687901,0.3122166493455894,0.3916064099597421,0.6063105553727756
57,0.45931927253929444,0.29812748634582564,0.3599848589052903,0.6343667794062726
58,0.5129269863659601,0.34492387506415473,0.3974426891356446,0.7230112195419137
59,0.531014780186062,0.36148408644529145,0.48687275403734304,0.5839590798151537
6,0.3734497314392776,0.229596181967228,0.25538151725128505,0.6945587711054713
60,0.537351114502288,0.3673821652142135,0.4625839169283041,0.6409470528401118
61,0.47154412432974746,0.30851013224244556,0.3434334341225598,0.7520989887744977
62,0.5452977634061064,0.3748518079431251,0.46913832115437826,0.6509766580024491
63,0.5696746258218722,0.39828324107669283,0.47416116305312395,0.7133744188561235
64,0.3933417818849936,0.24481982381199832,0.3425850137659378,0.4617544798074711
65,0.5065289454720391,0.33916221137085817,0.39526583740097954,0.7049706468393927
66,0.3949650927307812,0.2460788179384794,0.31638179906832464,0.5254859209232253
67,0.4204621484763108,0.26619314508401365,0.29703911198240196,0.7193671602945235
68,0.5556913093116127,0.3847455276660998,0.45549170907900466,0.7124075595727494
69,0.58486551459929,0.41329323865194056,0.5061851349685933,0.6925074534245489
7,0.5620783135415576,0.3908963324184635,0.5104005381488659,0.6253996901957148
70,0.5488998933282585,0.3782646633437572,0.5099477902155259,0.5942947999674743
71,0.4385548566971659,0.28086472238758264,0.3724657781386367,0.5331563274233104
72,0.5603856137358153,0.38926091534139284,0.4654176838436054,0.7040452088906934
73,0.6134924057304486,0.4424731665849013,0.560442253989672,0.6776358267091631
74,0.5720939310332781,0.4006523562486781,0.4941949129812096,0.6791465251229893
75,0.4110481986813578,0.25869142055804784,0.34158070377872757,0.5159842610084732
76,0.5236757846348905,0.35471597578951863,0.44332299752362564,0.6396048819300078
77,0.4547562820392503,0.2942942118149564,0.3354352541311985,0.7058364074381064
78,0.45371725365038096,0.2934245077244282,0.3250201340495513,0.7511459775419549
79,0.5605520360348326,0.3894215352465586,0.5254504263615114,0.6006791416805366
8,0.500321306647048,0.3336190004329939,0.475292037874341,0.5281332362937806
80,0.3621021140643868,0.22107734381595806,0.2610443650003363,0.5908289007680708
81,0.4639572442242258,0.30204708982200695,0.37071856132262077,0.6198559804508089
82,0.4057422321711279,0.254502277083913,0.2836661790222649,0.7122672133948894
83,0.3205556966669728,0.1908700967521377,0.22708779015138714,0.544786320686898
84,0.633682287749258,0.4637883868938584,0.5330144220216954,0.7812293018943113
85,0.42927196767346654,0.27329490455305727,0.36313600074162733,0.5248622485722818
86,0.39833184282092865,0.2486981095525571,0.3386661287319736,0.4835172138774997
87,0.48337976822077255,0.318721693204448,0.37312323047448315,0.6861280856569216
88,0.5242537864249829,0.35524657397222387,0.4310840828812114,0.6688009642003288
89,0.45088272099224386,0.29105783474384117,0.32902298850578104,0.7161056607097946
9,0.5239380038976912,0.35495663819082673,0.48086292411012,0.5754896209979272
90,0.46793630775726214,0.3054287560801624,0.39119694685757267,0.5821301920920341
91,0.5257313927036704,0.35660488875757346,0.4471554183893613,0.6378099610378115
92,0.45152278101689075,0.29159149097035536,0.3360196822914159,0.6880232723144917
93,0.6061663842433314,0.4348914945018621,0.5425310799049388,0.6867133097103839
94,0.4987029479216046,0.3321813942358897,0.3746602813153546,0.745534933679746
95,0.5658538500805134,0.39455800938579677,0.4518137639128733,0.7568989967960758
96,0.4532456074766519,0.29303010850821376,0.34775565274459974,0.6506027199670606
97,0.46419570262999305,0.3022492536483585,0.3818045535463801,0.5919308566656266
98,0.5573618716051804,0.3863490508360243,0.5317097389532242,0.585614624824466
99,0.5326212353161366,0.3629746103289876,0.4447495104653102,0.66376514094993
